parcel_id,project_id,state,district,latitude,longitude,project_type,land_area_acres,affected_families,affected_family_density,land_area_per_family,documentation_completeness_pct,rehabilitation_progress_pct,legal_dispute_indicator,compensation_pending_days,approval_processing_days,approval_delay_days,administrative_processing_days,historical_delay_rate,compensation_status,notification_status,approval_status,possession_status,stakeholder_responsiveness,ownership_complexity,ownership_complexity_score,stakeholder_response_score,possession_progress_score,operational_friction_index,target_delay_status,target_delay_days
PCL-11120,PRJ-1031,Maharashtra,Aurangabad,18.067746,78.838398,Irrigation / Water Canal,28.61,41,1.4331,0.6978,85.0,78.0,0,156,15,0,211,0.454,Partially Disbursed,Notification Pending,Approved,Initial Stage (<30%),Moderate,Low,1,3,2,23.27,1,126
PCL-11121,PRJ-1184,Haryana,Faridabad,29.115812,77.042628,Airport Infrastructure,124.25,192,1.5453,0.6471,82.0,64.0,0,0,118,58,194,0.405,Fully Disbursed,Award Declared (Sec 23),Pending Environmental Clearance,Substantial Possession (>70%),Moderate,Very High,4,3,4,18.23,1,175
PCL-11122,PRJ-1057,Gujarat,Rajkot,23.716613,69.285273,Industrial Corridor / SEZ,35.46,50,1.41,0.7092,93.0,49.0,0,0,185,125,246,0.244,Fully Disbursed,Award Declared (Sec 23),Under Scrutiny,Partial Possession (30-70%),Moderate,Low,1,3,3,19.47,0,3
PCL-11123,PRJ-1237,Odisha,Sundargarh,20.99068,86.678998,Airport Infrastructure,24.27,79,3.255,0.3072,93.0,60.0,0,0,129,69,267,0.675,Fully Disbursed,Preliminary Notification (Sec 11),Under Scrutiny,Partial Possession (30-70%),High / Cooperative,Medium,2,4,3,15.41,1,139
PCL-11124,PRJ-1167,Gujarat,Surat,23.598085,70.642928,Airport Infrastructure,10.81,22,2.0352,0.4913,60.0,50.0,0,0,208,148,275,0.159,Fully Disbursed,Award Declared (Sec 23),Under Scrutiny,Full Possession,High / Cooperative,Very High,4,4,5,23.31,1,188
PCL-11125,PRJ-1101,Andhra Pradesh,Guntur,17.770244,78.425849,Irrigation / Water Canal,19.1,13,0.6806,1.4691,51.0,31.0,0,0,151,91,70,0.596,Fully Disbursed,Notification Pending,Under Scrutiny,Partial Possession (30-70%),Low / Resistant,Low,1,2,3,26.82,0,15
PCL-11126,PRJ-1044,Madhya Pradesh,Jabalpur,24.033301,80.81749,Urban Metro / Transit,17.66,39,2.2084,0.4528,33.0,69.0,1,265,59,0,288,0.64,Disputed in Escrow,Possession Taken (Sec 38),Approved,Substantial Possession (>70%),Low / Resistant,Low,1,2,4,70.69,1,499
PCL-11127,PRJ-1195,Andhra Pradesh,Visakhapatnam,17.064365,82.066274,Renewable / Solar Park,62.54,97,1.551,0.6447,54.0,78.0,0,124,139,79,117,0.344,Pending Disbursal,Notification Pending,Conditional Clearance,Initial Stage (<30%),High / Cooperative,Medium,2,4,2,20.88,0,9
PCL-11128,PRJ-1100,Rajasthan,Udaipur,24.196081,74.642397,Railway & Freight Corridor,21.74,39,1.7939,0.5574,89.0,47.0,0,0,191,131,73,0.451,Fully Disbursed,Notification Pending,Pending Environmental Clearance,Full Possession,Moderate,Low,1,3,5,13.99,1,167
PCL-11129,PRJ-1157,Odisha,Angul,19.58072,86.366164,Railway & Freight Corridor,43.58,84,1.9275,0.5188,67.0,63.0,1,382,102,42,182,0.609,Disputed in Escrow,Possession Taken (Sec 38),Under Scrutiny,Partial Possession (30-70%),Low / Resistant,High,3,2,3,64.62,1,467
PCL-11130,PRJ-1177,Andhra Pradesh,Krishna,18.401154,79.416385,Irrigation / Water Canal,107.94,98,0.9079,1.1014,83.0,24.0,0,0,102,42,138,0.428,Fully Disbursed,Notification Pending,Approved,Substantial Possession (>70%),High / Cooperative,Medium,2,4,4,16.18,1,97
PCL-11131,PRJ-1112,Odisha,Jajpur,20.720875,86.167551,Irrigation / Water Canal,32.82,37,1.1274,0.887,82.0,39.0,0,112,114,54,235,0.523,Partially Disbursed,Declaration Published (Sec 19),Under Scrutiny,Full Possession,Moderate,Medium,2,3,5,26.87,1,247
PCL-11132,PRJ-1258,Odisha,Cuttack,20.88248,84.739733,Industrial Corridor / SEZ,8.14,16,1.9656,0.5087,92.0,32.0,0,450,123,63,171,0.503,Disputed in Escrow,Notification Pending,Conditional Clearance,Contested / Encroached,Moderate,Medium,2,3,1,33.56,1,328
PCL-11133,PRJ-1032,Madhya Pradesh,Ujjain,23.39673,81.355816,Railway & Freight Corridor,117.46,152,1.2941,0.7728,67.0,78.0,1,528,15,0,171,0.656,Disputed in Escrow,Declaration Published (Sec 19),Approved,Partial Possession (30-70%),Hostile / Legal Injunction,High,3,1,3,66.46,1,607
PCL-11134,PRJ-1196,Madhya Pradesh,Gwalior,25.176079,76.170189,Airport Infrastructure,46.62,84,1.8018,0.555,65.0,71.0,0,0,94,34,146,0.788,Fully Disbursed,Notification Pending,Approved,Substantial Possession (>70%),Moderate,Low,1,3,4,19.12,1,155
PCL-11135,PRJ-1256,Tamil Nadu,Coimbatore,9.652284,79.901847,Industrial Corridor / SEZ,32.14,42,1.3068,0.7652,33.0,82.0,1,205,157,97,209,0.539,Disputed in Escrow,Notification Pending,Under Scrutiny,Partial Possession (30-70%),Moderate,High,3,3,3,60.21,1,377
PCL-11136,PRJ-1023,Maharashtra,Nagpur,20.417022,73.145378,Highway / Expressway,39.37,45,1.143,0.8749,72.0,38.0,0,0,15,0,182,0.365,Fully Disbursed,Possession Taken (Sec 38),Approved,Full Possession,High / Cooperative,High,3,4,5,18.63,1,206
PCL-11137,PRJ-1247,Rajasthan,Jodhpur,27.19541,71.768046,Airport Infrastructure,55.75,157,2.8161,0.3551,54.0,44.0,1,45,123,63,113,0.457,Partially Disbursed,Declaration Published (Sec 19),Pending Environmental Clearance,Partial Possession (30-70%),Moderate,Very High,4,3,3,49.64,1,345
PCL-11138,PRJ-1125,Uttar Pradesh,Prayagraj,27.229921,78.509283,Highway / Expressway,5.98,11,1.8395,0.5436,80.0,43.0,0,170,95,35,71,0.649,Partially Disbursed,Declaration Published (Sec 19),Approved,Full Possession,High / Cooperative,Low,1,4,5,19.35,0,25
PCL-11139,PRJ-1051,Andhra Pradesh,Kurnool,14.203425,79.022923,Renewable / Solar Park,54.98,97,1.7643,0.5668,68.0,77.0,0,0,189,129,217,0.364,Fully Disbursed,Award Declared (Sec 23),Conditional Clearance,Full Possession,Moderate,Low,1,3,5,20.59,1,169
PCL-11140,PRJ-1195,Andhra Pradesh,Visakhapatnam,15.975153,78.415211,Renewable / Solar Park,62.72,24,0.3827,2.6132,72.0,53.0,0,138,80,20,120,0.167,Partially Disbursed,Award Declared (Sec 23),Approved,Full Possession,High / Cooperative,Medium,2,4,5,20.47,0,0
PCL-11141,PRJ-1154,Maharashtra,Pune,20.565761,77.587336,Irrigation / Water Canal,64.86,100,1.5418,0.6486,75.0,55.0,0,0,86,26,342,0.616,Fully Disbursed,Possession Taken (Sec 38),Under Scrutiny,Full Possession,Hostile / Legal Injunction,High,3,1,5,33.58,1,433
PCL-11142,PRJ-1138,Haryana,Gurugram,29.903822,76.441924,Renewable / Solar Park,131.69,178,1.3517,0.7398,25.0,52.0,0,0,62,2,96,0.211,Fully Disbursed,Notification Pending,Approved,Substantial Possession (>70%),Low / Resistant,Low,1,2,4,30.9,1,217
PCL-11143,PRJ-1208,Rajasthan,Alwar,24.750945,74.630906,Industrial Corridor / SEZ,29.64,42,1.417,0.7057,67.0,53.0,0,174,162,102,260,0.456,Partially Disbursed,Preliminary Notification (Sec 11),Under Scrutiny,Contested / Encroached,Moderate,Medium,2,3,1,31.95,1,325
PCL-11144,PRJ-1038,Madhya Pradesh,Bhopal,23.651971,77.424373,Irrigation / Water Canal,27.85,45,1.6158,0.6189,82.0,71.0,0,126,212,152,271,0.196,Partially Disbursed,Preliminary Notification (Sec 11),Under Scrutiny,Full Possession,High / Cooperative,Low,1,4,5,21.84,1,91
PCL-11145,PRJ-1045,Uttar Pradesh,Prayagraj,25.501184,82.808369,Renewable / Solar Park,19.16,24,1.2526,0.7983,35.0,77.0,1,185,70,10,190,0.528,Pending Disbursal,Possession Taken (Sec 38),Approved,Contested / Encroached,Hostile / Legal Injunction,Medium,2,1,1,66.28,1,410
PCL-11146,PRJ-1189,Haryana,Gurugram,30.292858,77.337416,Highway / Expressway,23.77,44,1.8511,0.5402,78.0,59.0,0,0,127,67,150,0.311,Fully Disbursed,Possession Taken (Sec 38),Under Scrutiny,Partial Possession (30-70%),Moderate,Medium,2,3,3,17.88,0,27
PCL-11147,PRJ-1152,Madhya Pradesh,Ujjain,23.744425,76.233221,Urban Metro / Transit,6.17,15,2.4311,0.4113,41.0,80.0,1,53,112,52,346,0.342,Partially Disbursed,Notification Pending,Conditional Clearance,Partial Possession (30-70%),Low / Resistant,Medium,2,2,3,61.45,1,432
PCL-11148,PRJ-1084,Andhra Pradesh,Guntur,14.670018,82.670823,Irrigation / Water Canal,126.63,132,1.0424,0.9593,71.0,47.0,0,225,47,0,225,0.325,Pending Disbursal,Award Declared (Sec 23),Approved,Substantial Possession (>70%),High / Cooperative,Medium,2,4,4,28.78,0,0
PCL-11149,PRJ-1151,Karnataka,Bengaluru Rural,14.376957,77.217005,Renewable / Solar Park,25.3,31,1.2253,0.8161,33.0,61.0,1,154,192,132,164,0.629,Pending Disbursal,Award Declared (Sec 23),Under Scrutiny,Full Possession,Low / Resistant,Medium,2,2,5,62.28,1,537
PCL-11150,PRJ-1026,Gujarat,Ahmedabad,21.233771,70.806913,Industrial Corridor / SEZ,69.17,125,1.8071,0.5534,51.0,41.0,0,84,75,15,232,0.466,Partially Disbursed,Declaration Published (Sec 19),Approved,Initial Stage (<30%),Moderate,High,3,3,2,31.6,0,43
PCL-11151,PRJ-1168,Haryana,Panipat,30.179818,77.23241,Airport Infrastructure,35.92,78,2.1715,0.4605,69.0,26.0,0,354,15,0,240,0.08,Pending Disbursal,Declaration Published (Sec 19),Approved,Partial Possession (30-70%),High / Cooperative,Low,1,4,3,37.15,0,8
PCL-11152,PRJ-1215,Uttar Pradesh,Agra,25.296459,83.134627,Irrigation / Water Canal,25.36,15,0.5915,1.6906,75.0,35.0,1,119,179,119,111,0.104,Partially Disbursed,Notification Pending,Under Scrutiny,Contested / Encroached,Low / Resistant,High,3,2,1,53.05,1,495
PCL-11153,PRJ-1191,Haryana,Karnal,30.389339,76.709795,Highway / Expressway,17.53,32,1.8254,0.5478,39.0,64.0,0,0,76,16,111,0.711,Fully Disbursed,Declaration Published (Sec 19),Approved,Partial Possession (30-70%),High / Cooperative,High,3,4,3,19.96,1,151
PCL-11154,PRJ-1186,Gujarat,Surat,21.709497,72.644538,Airport Infrastructure,78.33,300,3.83,0.2611,49.0,71.0,0,0,132,72,301,0.185,Fully Disbursed,Preliminary Notification (Sec 11),Conditional Clearance,Substantial Possession (>70%),Moderate,Low,1,3,4,28.14,0,27
PCL-11155,PRJ-1248,Karnataka,Kalaburagi,13.806486,76.792115,Irrigation / Water Canal,18.13,31,1.7099,0.5848,57.0,78.0,0,113,101,41,289,0.343,Partially Disbursed,Award Declared (Sec 23),Approved,Substantial Possession (>70%),Moderate,Low,1,3,4,30.03,0,20
PCL-11156,PRJ-1212,Karnataka,Dharwad,15.456181,76.38387,Highway / Expressway,21.06,27,1.2821,0.78,47.0,50.0,0,149,123,63,308,0.324,Pending Disbursal,Possession Taken (Sec 38),Conditional Clearance,Full Possession,High / Cooperative,Medium,2,4,5,33.27,0,38
PCL-11157,PRJ-1073,Uttar Pradesh,Noida,28.373174,79.141797,Highway / Expressway,38.03,23,0.6048,1.6534,49.0,62.0,0,39,78,18,136,0.08,Partially Disbursed,Award Declared (Sec 23),Approved,Full Possession,High / Cooperative,Medium,2,4,5,20.7,0,26
PCL-11158,PRJ-1207,Madhya Pradesh,Gwalior,23.025828,76.222326,Industrial Corridor / SEZ,30.94,50,1.616,0.6188,81.0,64.0,0,142,134,74,312,0.401,Partially Disbursed,Award Declared (Sec 23),Under Scrutiny,Initial Stage (<30%),Hostile / Legal Injunction,Low,1,1,2,36.19,1,425
PCL-11159,PRJ-1078,Tamil Nadu,Salem,10.980301,77.237474,Airport Infrastructure,50.77,203,3.9984,0.2501,56.0,56.0,0,0,146,86,330,0.419,Fully Disbursed,Notification Pending,Under Scrutiny,Contested / Encroached,Moderate,Very High,4,3,1,29.33,0,16
PCL-11160,PRJ-1258,Odisha,Cuttack,20.057603,84.869827,Industrial Corridor / SEZ,21.65,38,1.7552,0.5697,71.0,85.0,0,242,166,106,155,0.593,Pending Disbursal,Possession Taken (Sec 38),Pending Environmental Clearance,Initial Stage (<30%),Moderate,High,3,3,2,26.81,1,297
PCL-11161,PRJ-1028,Gujarat,Ahmedabad,22.341997,71.005067,Irrigation / Water Canal,10.3,2,0.1942,5.1474,90.0,35.0,0,0,157,97,148,0.441,Fully Disbursed,Award Declared (Sec 23),Resubmission Required,Full Possession,High / Cooperative,Low,1,4,5,14.05,0,25
PCL-11162,PRJ-1005,Gujarat,Ahmedabad,22.772793,71.429705,Industrial Corridor / SEZ,34.79,31,0.8911,1.1222,83.0,50.0,0,37,97,37,279,0.138,Partially Disbursed,Notification Pending,Approved,Full Possession,High / Cooperative,High,3,4,5,20.38,0,15
PCL-11163,PRJ-1237,Odisha,Sundargarh,21.575164,86.59179,Airport Infrastructure,30.1,64,2.1262,0.4703,83.0,43.0,0,0,166,106,196,0.522,Fully Disbursed,Possession Taken (Sec 38),Under Scrutiny,Full Possession,High / Cooperative,Very High,4,4,5,16.45,0,18
PCL-11164,PRJ-1087,Tamil Nadu,Kanchipuram,11.705076,78.308981,Irrigation / Water Canal,101.15,141,1.394,0.7174,91.0,71.0,0,0,133,73,241,0.523,Fully Disbursed,Preliminary Notification (Sec 11),Under Scrutiny,Contested / Encroached,Moderate,High,3,3,1,17.49,0,36
PCL-11165,PRJ-1070,Rajasthan,Jaipur,24.85186,76.36659,Irrigation / Water Canal,26.91,58,2.1553,0.464,56.0,57.0,0,0,155,95,30,0.28,Fully Disbursed,Possession Taken (Sec 38),Conditional Clearance,Partial Possession (30-70%),Moderate,High,3,3,3,17.97,1,170
PCL-11166,PRJ-1173,Rajasthan,Kota,24.994235,75.294898,Urban Metro / Transit,56.57,110,1.9445,0.5143,68.0,48.0,1,312,250,190,210,0.557,Disputed in Escrow,Possession Taken (Sec 38),Under Scrutiny,Initial Stage (<30%),Hostile / Legal Injunction,High,3,1,2,68.55,1,660
PCL-11167,PRJ-1253,Odisha,Jajpur,19.809722,85.245944,Urban Metro / Transit,22.63,49,2.1653,0.4618,64.0,64.0,1,277,60,0,165,0.359,Pending Disbursal,Preliminary Notification (Sec 11),Pending Environmental Clearance,Initial Stage (<30%),Moderate,Low,1,3,2,57.12,1,313
PCL-11168,PRJ-1025,Odisha,Sundargarh,19.575279,85.11021,Highway / Expressway,67.45,139,2.0608,0.4852,57.0,23.0,0,0,15,0,206,0.615,Fully Disbursed,Notification Pending,Approved,Full Possession,Low / Resistant,Medium,2,2,5,31.52,1,333
PCL-11169,PRJ-1110,Rajasthan,Udaipur,25.934996,74.038245,Renewable / Solar Park,30.16,41,1.3594,0.7356,55.0,75.0,0,54,85,25,267,0.134,Partially Disbursed,Declaration Published (Sec 19),Resubmission Required,Full Possession,High / Cooperative,High,3,4,5,23.73,0,10
PCL-11170,PRJ-1184,Haryana,Faridabad,28.88066,76.975081,Airport Infrastructure,21.0,70,3.3333,0.3,60.0,64.0,0,0,32,0,276,0.21,Fully Disbursed,Preliminary Notification (Sec 11),Approved,Initial Stage (<30%),High / Cooperative,Medium,2,4,2,21.95,0,0
PCL-11171,PRJ-1010,Madhya Pradesh,Indore,23.800247,77.792228,Irrigation / Water Canal,79.77,154,1.9306,0.518,92.0,54.0,0,152,15,0,190,0.539,Partially Disbursed,Award Declared (Sec 23),Approved,Partial Possession (30-70%),High / Cooperative,Very High,4,4,3,19.57,1,230
PCL-11172,PRJ-1246,Andhra Pradesh,Nellore,16.254197,81.452502,Highway / Expressway,29.44,17,0.5774,1.7317,35.0,74.0,1,337,71,11,291,0.785,Disputed in Escrow,Notification Pending,Under Scrutiny,Contested / Encroached,Moderate,High,3,3,1,69.11,1,354
PCL-11173,PRJ-1202,Andhra Pradesh,Guntur,16.209417,79.897187,Renewable / Solar Park,86.43,157,1.8165,0.5505,69.0,78.0,0,32,221,161,224,0.358,Partially Disbursed,Preliminary Notification (Sec 11),Under Scrutiny,Contested / Encroached,High / Cooperative,Medium,2,4,1,18.12,0,33
PCL-11174,PRJ-1201,Odisha,Khurda,20.027477,84.335573,Industrial Corridor / SEZ,80.65,102,1.2647,0.7907,60.0,72.0,0,166,149,89,207,0.326,Pending Disbursal,Declaration Published (Sec 19),Conditional Clearance,Full Possession,High / Cooperative,Low,1,4,5,25.38,0,32
PCL-11175,PRJ-1036,Haryana,Gurugram,28.08656,77.046164,Highway / Expressway,20.3,30,1.4778,0.6766,89.0,58.0,0,0,15,0,172,0.787,Fully Disbursed,Declaration Published (Sec 19),Approved,Partial Possession (30-70%),Low / Resistant,Medium,2,2,3,20.35,1,124
PCL-11176,PRJ-1212,Karnataka,Dharwad,15.05114,75.327522,Highway / Expressway,28.64,38,1.3268,0.7537,42.0,63.0,1,64,170,110,146,0.219,Partially Disbursed,Notification Pending,Pending Environmental Clearance,Partial Possession (30-70%),High / Cooperative,High,3,4,3,48.41,1,222
PCL-11177,PRJ-1234,Madhya Pradesh,Ujjain,23.519965,80.659327,Industrial Corridor / SEZ,87.13,124,1.4232,0.7027,80.0,60.0,1,185,46,0,66,0.425,Pending Disbursal,Preliminary Notification (Sec 11),Approved,Contested / Encroached,Low / Resistant,High,3,2,1,50.58,1,421
PCL-11178,PRJ-1203,Rajasthan,Jaipur,24.254275,76.674182,Irrigation / Water Canal,31.07,45,1.4483,0.6904,71.0,19.0,0,162,80,20,184,0.65,Pending Disbursal,Possession Taken (Sec 38),Approved,Substantial Possession (>70%),Low / Resistant,Medium,2,2,4,34.96,1,329
PCL-11179,PRJ-1238,Andhra Pradesh,Nellore,17.965684,81.455025,Railway & Freight Corridor,153.42,134,0.8734,1.1449,79.0,42.0,0,205,15,0,286,0.42,Pending Disbursal,Notification Pending,Approved,Substantial Possession (>70%),High / Cooperative,High,3,4,4,29.15,0,14
PCL-11180,PRJ-1088,Uttar Pradesh,Prayagraj,25.279586,82.947284,Airport Infrastructure,35.07,105,2.994,0.334,68.0,44.0,0,0,127,67,362,0.675,Fully Disbursed,Award Declared (Sec 23),Under Scrutiny,Substantial Possession (>70%),Moderate,Low,1,3,4,29.33,1,189
PCL-11181,PRJ-1109,Andhra Pradesh,Kurnool,16.406334,79.678347,Renewable / Solar Park,154.1,213,1.3822,0.7235,58.0,38.0,1,330,104,44,320,0.525,Pending Disbursal,Declaration Published (Sec 19),Conditional Clearance,Substantial Possession (>70%),Hostile / Legal Injunction,High,3,1,4,76.41,1,652
PCL-11182,PRJ-1026,Gujarat,Ahmedabad,23.226196,72.451757,Industrial Corridor / SEZ,25.27,48,1.8995,0.5264,60.0,71.0,0,124,167,107,35,0.508,Pending Disbursal,Notification Pending,Resubmission Required,Substantial Possession (>70%),Moderate,Medium,2,3,4,21.06,1,167
PCL-11183,PRJ-1246,Andhra Pradesh,Nellore,18.006545,81.988159,Highway / Expressway,26.82,31,1.1559,0.8651,58.0,46.0,1,161,32,0,345,0.391,Partially Disbursed,Declaration Published (Sec 19),Approved,Contested / Encroached,Moderate,Very High,4,3,1,62.1,1,329
PCL-11184,PRJ-1110,Rajasthan,Udaipur,26.756184,74.216262,Renewable / Solar Park,12.26,30,2.447,0.4087,98.0,50.0,0,0,82,22,165,0.315,Fully Disbursed,Award Declared (Sec 23),Approved,Full Possession,Moderate,High,3,3,5,15.34,0,27
PCL-11185,PRJ-1068,Maharashtra,Pune,20.731209,78.555627,Irrigation / Water Canal,18.82,29,1.5409,0.6489,87.0,26.0,0,80,95,35,188,0.687,Partially Disbursed,Preliminary Notification (Sec 11),Under Scrutiny,Partial Possession (30-70%),Hostile / Legal Injunction,Low,1,1,3,31.59,1,452
PCL-11186,PRJ-1066,Haryana,Faridabad,28.136678,75.94493,Industrial Corridor / SEZ,30.34,17,0.5603,1.7846,57.0,56.0,1,142,27,0,239,0.4,Partially Disbursed,Possession Taken (Sec 38),Approved,Contested / Encroached,Low / Resistant,High,3,2,1,60.3,1,364
PCL-11187,PRJ-1191,Haryana,Karnal,29.772846,75.628715,Highway / Expressway,7.53,8,1.0624,0.9411,51.0,41.0,0,0,48,0,197,0.513,Fully Disbursed,Award Declared (Sec 23),Approved,Full Possession,High / Cooperative,Low,1,4,5,23.09,0,2
PCL-11188,PRJ-1030,Rajasthan,Udaipur,25.565511,75.728978,Industrial Corridor / SEZ,25.82,34,1.3168,0.7594,28.0,65.0,1,229,129,69,249,0.189,Disputed in Escrow,Notification Pending,Under Scrutiny,Substantial Possession (>70%),Low / Resistant,High,3,2,4,69.15,1,369
PCL-11189,PRJ-1012,Uttar Pradesh,Noida,27.265988,83.399609,Railway & Freight Corridor,14.65,12,0.8191,1.2207,87.0,79.0,0,0,52,0,296,0.394,Fully Disbursed,Award Declared (Sec 23),Approved,Substantial Possession (>70%),Moderate,Medium,2,3,4,19.55,0,57
PCL-11190,PRJ-1112,Odisha,Jajpur,19.860262,86.169927,Irrigation / Water Canal,14.4,5,0.3472,2.8794,97.0,78.0,1,129,76,16,191,0.761,Partially Disbursed,Possession Taken (Sec 38),Approved,Initial Stage (<30%),Low / Resistant,High,3,2,2,47.76,1,348
PCL-11191,PRJ-1104,Haryana,Karnal,30.303326,76.347619,Irrigation / Water Canal,46.78,29,0.6199,1.613,80.0,52.0,0,303,127,67,343,0.085,Pending Disbursal,Possession Taken (Sec 38),Under Scrutiny,Contested / Encroached,High / Cooperative,Low,1,4,1,34.11,0,53
PCL-11192,PRJ-1202,Andhra Pradesh,Guntur,18.141391,78.462152,Renewable / Solar Park,28.72,40,1.3928,0.718,65.0,63.0,0,0,23,0,205,0.08,Fully Disbursed,Award Declared (Sec 23),Approved,Full Possession,High / Cooperative,Medium,2,4,5,18.39,0,0
PCL-11193,PRJ-1101,Andhra Pradesh,Guntur,17.063374,81.01283,Irrigation / Water Canal,29.45,31,1.0526,0.95,51.0,61.0,1,282,134,74,59,0.603,Pending Disbursal,Declaration Published (Sec 19),Under Scrutiny,Substantial Possession (>70%),High / Cooperative,Low,1,4,4,52.5,1,269
PCL-11194,PRJ-1061,Rajasthan,Kota,24.439222,76.765079,Renewable / Solar Park,27.41,32,1.1675,0.8565,78.0,81.0,0,172,24,0,211,0.258,Partially Disbursed,Award Declared (Sec 23),Approved,Full Possession,Low / Resistant,High,3,2,5,28.78,1,216
PCL-11195,PRJ-1021,Karnataka,Belagavi,15.165625,76.127575,Industrial Corridor / SEZ,92.03,182,1.9776,0.5057,90.0,80.0,1,255,174,114,181,0.576,Disputed in Escrow,Declaration Published (Sec 19),Conditional Clearance,Contested / Encroached,Low / Resistant,Very High,4,2,1,53.77,1,411
PCL-11196,PRJ-1195,Andhra Pradesh,Visakhapatnam,15.210147,79.034965,Renewable / Solar Park,74.91,93,1.2415,0.8055,59.0,59.0,0,415,207,147,93,0.378,Disputed in Escrow,Declaration Published (Sec 19),Pending Environmental Clearance,Initial Stage (<30%),High / Cooperative,Low,1,4,2,30.79,1,273
PCL-11197,PRJ-1126,Uttar Pradesh,Lucknow,25.936523,79.142457,Renewable / Solar Park,14.31,20,1.3976,0.7155,93.0,49.0,1,614,129,69,269,0.453,Disputed in Escrow,Notification Pending,Under Scrutiny,Full Possession,Moderate,High,3,3,5,60.34,1,476
PCL-11198,PRJ-1137,Haryana,Faridabad,28.937508,76.437119,Highway / Expressway,61.11,104,1.7018,0.5876,60.0,69.0,1,322,169,109,203,0.291,Pending Disbursal,Possession Taken (Sec 38),Under Scrutiny,Contested / Encroached,Low / Resistant,High,3,2,1,64.45,1,550
PCL-11199,PRJ-1138,Haryana,Gurugram,29.78219,77.341209,Renewable / Solar Park,9.6,15,1.5625,0.64,82.0,46.0,0,0,82,22,281,0.502,Fully Disbursed,Notification Pending,Under Scrutiny,Initial Stage (<30%),High / Cooperative,Low,1,4,2,19.54,0,0
PCL-11200,PRJ-1258,Odisha,Cuttack,20.544,86.228612,Industrial Corridor / SEZ,45.1,54,1.1973,0.8352,68.0,68.0,1,101,168,108,318,0.307,Pending Disbursal,Notification Pending,Under Scrutiny,Full Possession,High / Cooperative,High,3,4,5,50.68,1,288
PCL-11201,PRJ-1157,Odisha,Angul,20.870918,86.249868,Railway & Freight Corridor,21.52,12,0.5576,1.7932,77.0,84.0,0,0,61,1,354,0.26,Fully Disbursed,Possession Taken (Sec 38),Approved,Partial Possession (30-70%),High / Cooperative,Medium,2,4,3,19.48,0,22
PCL-11202,PRJ-1123,Odisha,Angul,19.58522,86.399313,Highway / Expressway,70.66,68,0.9624,1.0391,52.0,53.0,0,0,21,0,317,0.093,Fully Disbursed,Declaration Published (Sec 19),Approved,Initial Stage (<30%),Moderate,Low,1,3,2,29.94,1,195
PCL-11203,PRJ-1136,Rajasthan,Jaipur,26.912927,74.492775,Irrigation / Water Canal,23.99,18,0.7503,1.3327,75.0,44.0,0,0,240,180,261,0.374,Fully Disbursed,Award Declared (Sec 23),Pending Environmental Clearance,Full Possession,Hostile / Legal Injunction,High,3,1,5,31.64,1,381
PCL-11204,PRJ-1232,Maharashtra,Nagpur,19.693057,74.458069,Irrigation / Water Canal,20.48,31,1.5137,0.6606,49.0,62.0,0,0,196,136,68,0.815,Fully Disbursed,Notification Pending,Under Scrutiny,Partial Possession (30-70%),Low / Resistant,Low,1,2,3,24.05,1,173
PCL-11205,PRJ-1183,Rajasthan,Udaipur,28.096911,71.888324,Airport Infrastructure,9.17,14,1.5267,0.655,50.0,58.0,0,233,78,18,255,0.534,Pending Disbursal,Award Declared (Sec 23),Approved,Partial Possession (30-70%),Moderate,Medium,2,3,3,37.09,0,18
PCL-11206,PRJ-1091,Odisha,Cuttack,20.675658,86.495778,Urban Metro / Transit,28.96,122,4.2127,0.2374,66.0,71.0,0,42,120,60,257,0.451,Partially Disbursed,Preliminary Notification (Sec 11),Under Scrutiny,Substantial Possession (>70%),Moderate,Low,1,3,4,24.81,1,95
PCL-11207,PRJ-1013,Haryana,Karnal,29.709602,76.330752,Renewable / Solar Park,76.84,86,1.1192,0.8935,34.0,24.0,0,63,59,0,236,0.423,Partially Disbursed,Notification Pending,Approved,Partial Possession (30-70%),High / Cooperative,Medium,2,4,3,32.24,1,200
PCL-11208,PRJ-1002,Madhya Pradesh,Bhopal,22.540491,80.880571,Urban Metro / Transit,69.68,234,3.3582,0.2978,72.0,45.0,0,314,47,0,255,0.459,Pending Disbursal,Notification Pending,Approved,Contested / Encroached,Moderate,Low,1,3,1,37.32,1,237
PCL-11209,PRJ-1024,Karnataka,Kalaburagi,12.728196,77.49648,Railway & Freight Corridor,16.33,12,0.7348,1.3607,69.0,39.0,1,148,31,0,322,0.632,Partially Disbursed,Declaration Published (Sec 19),Approved,Full Possession,Moderate,Medium,2,3,5,59.21,1,281
PCL-11210,PRJ-1064,Madhya Pradesh,Jabalpur,25.434653,76.442747,Industrial Corridor / SEZ,17.6,6,0.3409,2.9328,71.0,40.0,1,38,24,0,153,0.818,Partially Disbursed,Declaration Published (Sec 19),Approved,Partial Possession (30-70%),Low / Resistant,High,3,2,3,51.6,1,373
PCL-11211,PRJ-1201,Odisha,Khurda,20.007627,85.996284,Industrial Corridor / SEZ,10.51,15,1.4272,0.7006,77.0,81.0,0,118,83,23,182,0.596,Partially Disbursed,Declaration Published (Sec 19),Conditional Clearance,Initial Stage (<30%),Moderate,Low,1,3,2,21.92,1,139
