project_type,state,district,land_area_acres,affected_families,ownership_complexity,documentation_completeness,legal_dispute,compensation_status,approval_status,rehabilitation_status,possession_status,stakeholder_responsiveness,administrative_processing_days,historical_delay_rate,is_delayed,delay_duration_days
Mining,Madhya Pradesh,Jabalpur,45.64,75,0.8,0.35,1,0.42,0.55,0.74,0.8,0.36,142,0.63,1,267
Industrial Corridors,Gujarat,Rajkot,64.96,122,0.39,0.96,0,0.83,0.2,0.11,0.52,0.71,163,0.65,0,0
Urban Infrastructure,Odisha,Cuttack,53.73,71,0.58,0.42,0,0.56,0.19,0.38,0.34,0.67,120,0.46,1,201
Water Resources,Rajasthan,Udaipur,25.13,48,0.89,0.38,0,0.39,0.47,0.88,0.53,0.27,160,0.25,0,0
Railways,Maharashtra,Thane,41.26,52,0.33,0.85,0,0.39,0.13,0.59,0.36,0.7,56,0.57,1,204
Railways,Rajasthan,Jodhpur,41.58,21,0.73,0.53,0,0.39,0.33,0.19,0.21,0.54,160,0.44,1,227
Mining,Gujarat,Kutch,56.42,79,0.17,0.53,0,0.81,0.28,0.35,0.55,0.73,163,0.24,0,0
Mining,Uttar Pradesh,Gorakhpur,29.99,30,0.54,0.55,1,0.74,0.54,0.36,0.09,0.83,196,0.61,1,292
Industrial Corridors,Uttar Pradesh,Varanasi,69.75,33,0.85,0.52,0,0.39,0.11,0.89,0.08,0.23,224,0.5,0,0
Urban Infrastructure,Maharashtra,Aurangabad,104.34,174,0.57,0.45,0,0.54,0.71,0.6,0.11,0.69,190,0.32,1,180
Highways,West Bengal,North 24 Parganas,25.68,43,0.62,0.42,0,0.17,0.87,0.65,0.66,0.28,240,0.32,1,186
Water Resources,Gujarat,Surat,34.37,67,0.87,0.89,0,0.84,0.74,0.43,0.42,0.48,158,0.65,1,204
Industrial Corridors,Gujarat,Rajkot,16.06,30,0.71,0.33,0,0.34,0.84,0.15,0.49,0.21,162,0.27,1,231
Highways,Karnataka,Mysuru,43.48,71,0.69,0.34,1,0.9,0.68,0.17,0.36,0.45,196,0.11,1,243
Solar Parks,West Bengal,Howrah,43.7,48,0.6,0.65,0,0.64,0.56,0.48,0.28,0.33,155,0.37,1,182
Railways,Madhya Pradesh,Gwalior,34.69,75,0.64,0.47,0,0.61,0.3,0.26,0.37,0.62,145,0.58,1,281
Urban Infrastructure,Madhya Pradesh,Jabalpur,36.84,44,0.78,0.53,0,0.25,0.35,0.19,0.22,0.58,221,0.4,1,222
Industrial Corridors,Odisha,Cuttack,154.08,159,0.93,0.83,1,0.16,0.39,0.34,0.66,0.79,192,0.53,1,246
Railways,Tamil Nadu,Tiruchirappalli,3.29,27,0.78,0.9,0,0.6,0.13,0.77,0.14,0.68,189,0.08,0,0
Urban Infrastructure,Uttar Pradesh,Varanasi,22.26,25,0.7,0.82,0,0.52,0.92,0.17,0.52,0.74,121,0.45,0,0
Urban Infrastructure,Madhya Pradesh,Indore,25.15,34,0.22,0.38,0,0.21,0.91,0.5,0.48,0.27,202,0.1,1,210
Urban Infrastructure,West Bengal,Hooghly,106.22,199,0.79,0.96,1,0.85,0.2,0.84,0.32,0.22,163,0.38,1,249
Railways,Gujarat,Rajkot,48.44,81,0.73,0.48,1,0.48,0.6,0.34,0.14,0.93,115,0.35,1,245
Industrial Corridors,Madhya Pradesh,Jabalpur,49.39,45,0.75,0.33,0,0.33,0.52,0.37,0.68,0.52,191,0.62,0,0
Water Resources,Gujarat,Kutch,90.73,50,0.3,0.59,0,0.81,0.72,0.9,0.56,0.5,106,0.13,0,0
Mining,Madhya Pradesh,Jabalpur,28.68,23,0.87,0.77,0,0.92,0.64,0.69,0.78,0.23,51,0.06,1,166
Railways,Uttar Pradesh,Kanpur,55.8,34,0.18,0.26,0,0.38,0.21,0.82,0.26,0.29,78,0.13,1,233
Urban Infrastructure,Rajasthan,Bhilwara,21.66,42,0.32,0.69,0,0.8,0.69,0.36,0.76,0.91,148,0.15,0,0
Industrial Corridors,Madhya Pradesh,Indore,14.26,40,0.66,0.87,0,0.69,0.65,1.0,0.31,0.72,229,0.2,0,0
Water Resources,West Bengal,Howrah,139.12,157,0.67,0.4,1,0.99,0.58,0.23,0.15,0.51,174,0.54,1,255
Solar Parks,Madhya Pradesh,Jabalpur,44.49,88,0.37,0.74,0,0.28,0.46,0.97,0.17,0.88,155,0.28,0,0
Highways,Tamil Nadu,Salem,55.46,92,0.7,0.51,1,0.96,0.96,0.91,0.25,0.64,219,0.55,0,0
Urban Infrastructure,Uttar Pradesh,Gorakhpur,13.96,43,0.43,0.52,0,0.38,0.86,0.6,0.66,0.76,182,0.21,0,0
Solar Parks,West Bengal,Paschim Bardhaman,49.81,64,0.1,0.42,0,0.47,0.63,0.63,0.27,0.52,206,0.57,1,182
Mining,Karnataka,Bengaluru Urban,137.36,135,0.24,0.69,1,0.42,0.11,0.8,0.59,0.52,203,0.05,1,218
Water Resources,West Bengal,North 24 Parganas,26.52,32,0.85,0.48,0,0.34,0.49,0.38,0.28,0.25,145,0.61,1,312
Water Resources,Tamil Nadu,Tiruchirappalli,12.13,10,0.29,0.85,1,0.72,0.73,0.57,0.38,0.75,149,0.5,0,0
Urban Infrastructure,Rajasthan,Kota,38.37,34,0.2,0.95,0,0.63,0.21,0.91,0.85,0.27,122,0.3,0,0
Water Resources,Uttar Pradesh,Agra,14.46,36,0.68,0.93,0,0.38,0.47,0.16,0.5,0.77,197,0.4,0,0
Solar Parks,Karnataka,Dakshina Kannada,9.52,7,0.47,0.33,0,0.22,0.27,0.91,0.59,0.34,104,0.61,1,208
Urban Infrastructure,Tamil Nadu,Salem,18.4,46,0.78,0.21,0,0.39,0.4,0.76,0.22,0.39,120,0.4,1,293
Railways,Tamil Nadu,Kanchipuram,22.33,38,0.83,0.54,0,0.44,0.12,0.79,0.17,0.89,156,0.19,1,274
Industrial Corridors,Maharashtra,Pune,15.03,22,0.82,0.77,1,0.44,0.21,0.16,0.42,0.55,164,0.39,1,302
Solar Parks,Uttar Pradesh,Varanasi,95.7,68,0.37,0.96,0,0.42,0.51,0.27,0.82,0.29,186,0.57,0,0
Industrial Corridors,West Bengal,Murshidabad,150.16,196,0.53,0.81,0,0.14,0.91,0.93,0.27,0.88,158,0.64,0,0
Railways,Gujarat,Vadodara,54.3,27,0.65,0.65,1,0.52,0.54,0.21,0.61,0.54,143,0.4,1,309
Railways,Rajasthan,Udaipur,45.03,73,0.37,0.22,0,0.85,0.51,0.67,0.83,0.3,192,0.14,0,0
Industrial Corridors,Gujarat,Surat,29.56,52,0.13,0.84,0,0.26,0.81,0.8,0.89,0.49,201,0.51,0,0
Solar Parks,West Bengal,Paschim Bardhaman,16.17,37,0.52,0.34,0,0.23,0.34,0.31,0.94,0.64,83,0.65,1,207
Industrial Corridors,West Bengal,Hooghly,119.38,196,0.11,0.24,0,0.52,0.19,0.73,0.74,0.47,208,0.33,0,0
Industrial Corridors,Uttar Pradesh,Varanasi,31.49,69,0.91,0.86,1,0.43,0.29,0.16,0.12,0.89,145,0.28,1,266
Highways,West Bengal,Paschim Bardhaman,22.87,30,0.78,0.64,1,0.61,0.81,0.55,0.83,0.4,231,0.38,1,266
Solar Parks,Maharashtra,Nashik,74.57,50,0.26,0.3,0,0.95,0.71,0.4,0.85,0.33,130,0.15,0,0
Highways,Karnataka,Ballari,31.22,63,0.34,0.5,0,0.78,0.18,0.68,0.55,0.37,115,0.63,0,0
Urban Infrastructure,West Bengal,Paschim Bardhaman,72.37,72,0.94,0.27,0,0.72,0.7,0.9,0.11,0.26,189,0.55,0,0
Water Resources,Gujarat,Surat,23.86,39,0.42,0.7,1,0.47,0.94,0.21,0.48,0.54,255,0.12,1,218
Industrial Corridors,West Bengal,Hooghly,74.75,99,0.77,0.42,1,0.36,0.14,0.51,0.24,0.86,86,0.62,1,302
Urban Infrastructure,Maharashtra,Aurangabad,72.52,54,0.48,0.88,0,0.59,0.65,0.48,0.45,0.43,197,0.62,1,167
Solar Parks,Madhya Pradesh,Gwalior,95.57,59,0.83,0.48,0,0.9,0.44,0.39,0.7,0.39,185,0.24,0,0
Industrial Corridors,Madhya Pradesh,Jabalpur,18.77,25,0.7,0.59,0,0.89,0.55,0.53,0.65,0.83,158,0.42,0,0
Water Resources,Tamil Nadu,Tiruchirappalli,30.99,47,0.12,0.25,1,0.5,0.58,0.89,0.75,0.43,253,0.12,1,319
Urban Infrastructure,Rajasthan,Jaipur,157.31,228,0.35,0.41,1,0.32,0.79,0.98,0.48,0.56,73,0.1,1,219
Mining,Odisha,Cuttack,27.19,67,0.57,0.73,0,0.3,0.6,0.1,0.51,0.22,210,0.35,1,223
Railways,Karnataka,Belagavi,63.36,100,0.89,0.77,0,0.13,0.63,0.77,0.89,0.42,203,0.08,0,0
Industrial Corridors,Bihar,Darbhanga,206.94,176,0.19,0.39,0,0.86,0.4,0.65,0.62,0.3,213,0.57,1,275
Water Resources,Tamil Nadu,Salem,7.54,26,0.61,0.59,1,0.34,0.21,1.0,0.72,0.28,208,0.61,1,255
Railways,Rajasthan,Jodhpur,26.48,48,0.36,0.84,0,0.42,0.71,0.18,0.65,0.52,170,0.09,0,0
Highways,Madhya Pradesh,Gwalior,33.17,80,0.86,0.5,1,0.83,0.1,0.83,0.63,0.41,146,0.08,0,0
Urban Infrastructure,Gujarat,Ahmedabad,7.85,12,0.75,0.3,0,0.21,0.4,0.94,0.87,0.32,132,0.18,1,186
Highways,Bihar,Bhagalpur,22.99,56,0.41,0.54,1,0.52,0.3,0.92,0.37,0.58,186,0.61,1,304
Water Resources,Rajasthan,Bhilwara,15.22,30,0.24,0.67,0,0.21,0.45,0.6,0.43,0.79,159,0.51,0,0
Industrial Corridors,Rajasthan,Bhilwara,65.77,50,0.11,0.21,0,0.5,0.38,0.39,0.39,0.75,150,0.46,1,200
Railways,Tamil Nadu,Salem,8.28,15,0.63,0.47,1,0.14,0.73,0.68,0.74,0.39,135,0.52,1,245
Railways,Bihar,Darbhanga,150.12,60,0.45,0.67,0,0.57,0.33,0.38,0.83,0.4,141,0.17,0,0
Urban Infrastructure,Uttar Pradesh,Varanasi,57.51,52,0.37,0.94,0,0.82,0.6,0.47,0.37,0.75,194,0.2,0,0
Industrial Corridors,Odisha,Cuttack,14.25,27,0.94,0.52,0,0.71,0.51,0.5,0.18,0.62,160,0.24,1,219
Mining,Uttar Pradesh,Varanasi,75.27,42,0.5,0.33,1,0.56,0.82,0.37,0.49,0.76,214,0.41,1,237
Mining,Bihar,Gaya,53.39,101,0.74,0.62,0,0.85,0.49,0.41,0.94,0.2,99,0.41,0,0
Urban Infrastructure,Uttar Pradesh,Kanpur,32.1,64,0.25,0.42,1,0.31,0.88,0.11,0.23,0.27,187,0.18,1,351
Industrial Corridors,Maharashtra,Thane,18.59,36,0.11,0.37,1,0.85,0.1,0.37,0.46,0.8,114,0.31,1,226
Urban Infrastructure,Madhya Pradesh,Ujjain,51.32,72,0.45,0.66,0,0.35,0.64,0.53,0.29,0.84,214,0.46,1,199
Industrial Corridors,Maharashtra,Nagpur,36.54,68,0.67,0.91,0,0.43,0.11,0.26,0.88,0.46,215,0.24,0,0
Water Resources,West Bengal,Howrah,19.08,45,0.53,0.85,1,0.22,0.74,0.83,0.55,0.92,96,0.1,0,0
Water Resources,Uttar Pradesh,Agra,11.31,36,0.86,0.34,0,0.19,0.31,0.58,0.57,0.43,125,0.17,0,0
Highways,West Bengal,Hooghly,16.77,33,0.47,0.8,1,0.94,0.44,0.81,0.06,0.87,127,0.15,0,0
Urban Infrastructure,Gujarat,Ahmedabad,22.14,39,0.36,0.38,0,0.27,0.44,0.22,0.64,0.52,216,0.43,1,268
Industrial Corridors,Karnataka,Bengaluru Urban,83.93,61,0.88,0.43,1,0.4,0.86,0.84,0.33,0.62,133,0.09,1,232
Mining,Gujarat,Surat,65.93,130,0.45,0.92,1,0.58,0.19,0.96,0.51,0.68,191,0.58,1,286
Industrial Corridors,Bihar,Patna,23.1,52,0.33,0.91,0,0.41,0.7,0.42,0.53,0.3,130,0.1,1,168
Water Resources,Rajasthan,Jodhpur,23.83,38,0.18,0.33,0,0.88,0.98,0.36,0.58,0.23,208,0.41,0,0
Industrial Corridors,Madhya Pradesh,Ujjain,73.19,130,0.77,0.25,0,0.91,0.12,0.68,0.79,0.52,212,0.61,0,0
Urban Infrastructure,Uttar Pradesh,Varanasi,41.01,85,0.8,0.43,0,0.39,0.97,0.67,0.32,0.32,235,0.09,1,267
Highways,Tamil Nadu,Kanchipuram,40.56,57,0.13,0.65,0,0.18,0.12,0.2,0.28,0.61,152,0.28,1,198
Highways,Karnataka,Dakshina Kannada,18.86,25,0.4,0.88,1,0.29,0.86,0.93,0.77,0.54,160,0.25,0,0
Highways,Odisha,Jharsuguda,30.0,51,0.74,0.29,1,0.53,0.97,0.53,0.7,0.29,153,0.26,1,227
Highways,Odisha,Sundargarh,33.23,71,0.9,0.52,0,0.36,0.99,0.79,0.25,0.7,161,0.41,1,297
Water Resources,Odisha,Bhubaneswar,30.79,67,0.42,0.41,1,0.51,0.51,0.42,0.05,0.22,140,0.21,1,276
Solar Parks,Uttar Pradesh,Agra,59.58,126,0.84,0.21,1,0.78,0.88,0.34,0.65,0.29,207,0.07,1,450
Urban Infrastructure,Odisha,Jharsuguda,61.09,75,0.43,0.81,0,0.48,0.21,0.2,0.19,0.73,125,0.63,0,0
Railways,Maharashtra,Nagpur,15.88,32,0.25,0.83,0,0.28,0.48,0.35,0.91,0.6,153,0.5,1,153
Urban Infrastructure,Karnataka,Dakshina Kannada,22.19,61,0.1,0.37,0,0.42,0.38,0.99,0.59,0.41,168,0.13,0,0
Solar Parks,Maharashtra,Pune,19.11,10,0.38,0.32,1,0.77,0.46,0.69,0.81,0.34,182,0.32,0,0
Highways,Rajasthan,Jaipur,100.57,54,0.42,0.31,1,0.48,0.73,0.82,0.78,0.68,106,0.09,1,210
Solar Parks,Karnataka,Ballari,200.9,329,0.9,0.56,1,0.32,0.18,0.96,0.55,0.35,148,0.07,1,294
Mining,Maharashtra,Nagpur,22.85,34,0.28,0.39,1,0.48,1.0,0.17,0.44,0.94,160,0.08,0,0
Mining,Karnataka,Belagavi,28.97,22,0.42,0.6,0,0.51,0.67,0.25,0.5,0.85,196,0.5,1,175
Water Resources,Rajasthan,Bhilwara,64.97,36,0.12,0.5,0,0.37,0.89,0.94,0.77,0.3,150,0.32,0,0
Urban Infrastructure,West Bengal,Paschim Bardhaman,18.81,30,0.75,0.36,0,1.0,0.85,0.61,0.63,0.84,155,0.56,0,0
Urban Infrastructure,Uttar Pradesh,Gorakhpur,66.15,62,0.88,0.79,0,0.79,0.79,0.67,0.24,0.46,166,0.23,1,174
Railways,Uttar Pradesh,Lucknow,32.57,48,0.3,0.32,1,0.72,0.14,0.48,0.6,0.57,207,0.52,1,247
Water Resources,Odisha,Cuttack,8.21,31,0.46,0.82,1,0.87,0.56,0.83,0.41,0.31,67,0.1,0,0
Railways,Gujarat,Rajkot,11.7,32,0.2,0.64,0,0.7,0.4,0.57,0.11,0.29,164,0.43,1,174
Mining,Odisha,Bhubaneswar,25.27,49,0.49,0.85,1,0.81,0.2,0.84,0.39,0.85,212,0.27,0,0
Highways,Bihar,Bhagalpur,88.09,58,0.21,0.2,0,0.47,0.41,0.99,0.25,0.67,122,0.22,0,0
Solar Parks,Maharashtra,Pune,16.22,42,0.54,0.78,0,0.55,0.68,0.68,0.8,0.55,126,0.54,0,0
Railways,Karnataka,Belagavi,21.6,38,0.72,0.24,0,0.14,0.31,0.58,0.14,0.23,215,0.08,1,309
Industrial Corridors,Gujarat,Surat,39.21,53,0.57,0.94,0,0.35,0.5,0.43,0.37,0.89,144,0.62,0,0
Railways,Rajasthan,Kota,8.71,25,0.31,0.75,1,0.43,0.46,0.28,0.68,0.48,145,0.52,1,392
Highways,Bihar,Muzaffarpur,42.05,57,0.4,0.45,0,0.66,0.15,0.69,0.86,0.51,172,0.26,0,0
Highways,Rajasthan,Jaipur,9.63,32,0.64,0.45,0,0.52,0.67,0.16,0.35,0.42,30,0.64,1,217
Urban Infrastructure,Uttar Pradesh,Gorakhpur,52.13,87,0.6,0.87,1,0.65,0.66,0.96,0.6,0.87,78,0.17,0,0
Solar Parks,Uttar Pradesh,Gorakhpur,17.34,53,0.22,0.9,0,0.74,0.97,0.68,0.39,0.46,186,0.29,0,0
Highways,Odisha,Jharsuguda,15.59,25,0.82,0.9,1,0.14,0.37,0.96,0.23,0.33,148,0.58,1,340
Water Resources,Maharashtra,Pune,41.19,40,0.5,0.83,0,0.33,0.48,0.35,0.34,0.58,152,0.65,0,0
Railways,Gujarat,Kutch,62.5,113,0.24,0.84,0,0.25,0.46,0.95,0.62,0.79,130,0.19,0,0
Railways,Madhya Pradesh,Jabalpur,44.75,41,0.2,0.65,1,0.27,0.93,0.65,0.69,0.48,147,0.5,1,232
Mining,Bihar,Darbhanga,39.1,65,0.92,0.22,1,0.55,0.47,0.83,0.38,0.69,213,0.23,1,279
Highways,Bihar,Patna,39.55,89,0.34,0.27,1,0.77,0.5,0.26,0.19,0.43,165,0.51,1,253
Industrial Corridors,Odisha,Cuttack,44.96,95,0.87,0.71,1,0.35,0.33,0.55,0.18,0.74,207,0.13,1,248
Urban Infrastructure,Uttar Pradesh,Varanasi,47.39,60,0.45,0.51,1,0.84,0.1,0.61,0.78,0.7,153,0.25,1,221
Solar Parks,Odisha,Cuttack,24.16,26,0.43,0.64,1,0.9,0.2,0.45,0.64,0.71,160,0.09,0,0
Industrial Corridors,Karnataka,Ballari,55.9,84,0.7,0.38,1,0.42,0.73,0.33,0.71,0.68,174,0.35,1,278
Urban Infrastructure,Gujarat,Ahmedabad,17.49,56,0.11,0.71,0,0.71,0.71,0.91,0.49,0.32,183,0.47,0,0
Railways,Maharashtra,Aurangabad,79.29,98,0.39,0.39,0,0.21,0.39,0.18,0.46,0.87,121,0.28,1,216
Industrial Corridors,West Bengal,Howrah,61.93,96,0.36,0.56,0,0.77,0.53,0.24,0.24,0.64,158,0.42,1,190
Urban Infrastructure,Tamil Nadu,Salem,189.56,114,0.84,0.57,1,0.25,0.37,0.39,0.2,0.49,129,0.39,1,308
Railways,Tamil Nadu,Tiruchirappalli,49.95,72,0.55,0.34,1,0.72,0.76,0.93,0.19,0.33,227,0.23,0,0
Railways,Odisha,Bhubaneswar,68.53,105,0.41,0.88,0,0.48,0.86,0.61,0.94,0.79,82,0.34,0,0
Railways,Karnataka,Ballari,9.5,33,0.33,0.61,0,0.94,0.91,0.44,0.79,0.58,186,0.09,0,0
Railways,Gujarat,Vadodara,70.34,82,0.6,0.88,0,0.52,0.26,0.46,0.61,0.31,125,0.33,0,0
Water Resources,Madhya Pradesh,Ujjain,84.87,122,0.23,0.4,1,0.13,0.73,0.85,0.24,0.89,108,0.32,1,230
Railways,Tamil Nadu,Coimbatore,110.36,109,0.31,0.33,0,0.53,0.97,0.12,0.35,0.28,146,0.07,1,194
Mining,Gujarat,Kutch,36.47,68,0.35,0.21,0,0.82,0.69,0.11,0.37,0.59,218,0.36,0,0
Industrial Corridors,Maharashtra,Pune,25.19,61,0.62,0.27,0,0.68,0.42,0.14,0.48,0.66,131,0.49,1,219
Urban Infrastructure,Rajasthan,Udaipur,13.85,25,0.42,0.32,0,0.97,0.67,0.52,0.43,0.95,78,0.32,0,0
Mining,Karnataka,Mysuru,14.9,29,0.53,0.26,0,0.86,0.72,0.62,0.89,0.31,117,0.44,0,0
Water Resources,Uttar Pradesh,Kanpur,32.44,53,0.65,0.9,0,0.57,0.46,0.66,0.7,0.66,165,0.37,1,149
Mining,Gujarat,Vadodara,8.16,24,0.91,0.91,0,0.29,0.19,0.76,0.12,0.56,87,0.52,1,224
Highways,Maharashtra,Thane,17.91,15,0.75,0.93,1,0.1,0.65,0.27,0.37,0.39,192,0.36,1,275
Highways,Madhya Pradesh,Indore,35.57,45,0.44,0.95,1,0.98,0.82,0.34,0.17,0.91,88,0.25,0,0
Highways,West Bengal,Howrah,34.94,54,0.74,0.58,0,0.94,1.0,0.32,0.3,0.79,138,0.55,1,195
Solar Parks,Uttar Pradesh,Gorakhpur,15.25,43,0.91,0.61,1,0.35,0.3,0.23,0.91,0.78,196,0.09,1,351
Highways,West Bengal,Murshidabad,12.34,17,0.52,0.3,0,0.67,0.73,0.32,0.68,0.87,137,0.22,0,0
Urban Infrastructure,Madhya Pradesh,Gwalior,13.91,32,0.45,0.31,0,0.76,0.13,0.65,0.06,0.74,99,0.4,1,240
Mining,Maharashtra,Pune,27.75,26,0.17,0.8,0,0.62,0.97,0.43,0.35,0.58,155,0.56,0,0
Urban Infrastructure,Tamil Nadu,Kanchipuram,181.97,128,0.86,0.87,0,0.86,0.11,0.79,0.44,0.49,137,0.09,0,0
Industrial Corridors,West Bengal,Murshidabad,77.34,51,0.31,0.81,0,0.17,0.42,0.58,0.59,0.73,214,0.11,0,0
Highways,Uttar Pradesh,Varanasi,39.31,72,0.15,0.85,0,0.91,0.17,0.29,0.5,0.65,196,0.22,0,0
Water Resources,Odisha,Cuttack,51.58,58,0.56,0.42,0,0.45,0.66,0.52,0.11,0.61,182,0.26,0,0
Solar Parks,Bihar,Bhagalpur,74.64,112,0.82,0.56,0,0.53,0.41,0.63,0.51,0.64,160,0.56,1,233
Industrial Corridors,Gujarat,Kutch,56.85,69,0.45,0.56,0,0.5,0.76,0.88,0.17,0.69,150,0.63,0,0
Water Resources,Tamil Nadu,Tiruchirappalli,25.88,59,0.77,0.98,1,0.58,0.54,0.85,0.52,0.93,149,0.06,0,0
Solar Parks,West Bengal,Paschim Bardhaman,16.84,41,0.81,0.94,1,0.64,0.48,0.48,0.27,0.76,83,0.06,1,358
Industrial Corridors,Rajasthan,Jodhpur,29.96,43,0.49,0.67,0,0.74,0.41,0.68,0.18,0.33,160,0.57,0,0
Mining,Gujarat,Ahmedabad,73.95,122,0.6,0.31,1,0.57,0.18,0.37,0.31,0.55,124,0.13,1,252
Urban Infrastructure,Odisha,Cuttack,26.67,44,0.55,0.4,0,0.72,0.28,0.67,0.14,0.71,156,0.25,1,178
Railways,Madhya Pradesh,Gwalior,13.68,36,0.9,0.48,0,0.4,0.68,0.92,0.31,0.33,162,0.22,1,190
Urban Infrastructure,Bihar,Darbhanga,8.34,15,0.72,0.88,1,0.94,0.55,0.66,0.83,0.9,138,0.22,1,183
Highways,Maharashtra,Pune,30.06,15,0.89,0.33,0,0.16,0.16,0.37,0.33,0.26,201,0.25,1,285
Water Resources,Odisha,Cuttack,14.58,21,0.29,0.37,0,0.59,0.59,0.68,0.47,0.66,111,0.25,0,0
Railways,Odisha,Jharsuguda,23.35,27,0.36,0.47,0,0.18,0.15,0.91,0.52,0.93,137,0.42,1,193
Solar Parks,Madhya Pradesh,Indore,106.16,122,0.16,0.92,0,0.5,0.56,0.22,0.21,0.75,145,0.43,1,184
Mining,Karnataka,Dakshina Kannada,31.72,39,0.52,0.59,0,0.33,0.97,0.53,0.45,0.71,211,0.36,0,0
Mining,Madhya Pradesh,Indore,18.17,32,0.84,0.7,1,0.94,0.38,0.39,0.82,0.95,161,0.57,1,204
Solar Parks,Karnataka,Mysuru,42.39,55,0.38,0.5,0,0.11,0.75,0.32,0.12,0.79,159,0.56,1,201
Highways,Karnataka,Mysuru,153.97,62,0.21,0.35,1,0.45,0.77,0.46,0.88,0.93,199,0.18,0,0
Solar Parks,Tamil Nadu,Madurai,30.07,63,0.16,0.37,0,0.8,0.46,0.45,0.83,0.72,136,0.38,0,0
Industrial Corridors,Tamil Nadu,Tiruchirappalli,5.03,26,0.48,0.83,1,0.27,0.63,0.29,0.82,0.7,199,0.52,0,0
Water Resources,Uttar Pradesh,Kanpur,55.7,108,0.24,0.9,0,0.83,0.52,0.46,0.23,0.77,177,0.57,1,161
Water Resources,West Bengal,Paschim Bardhaman,43.69,57,0.39,0.58,1,0.87,0.36,0.67,0.49,0.34,215,0.2,1,211
Highways,West Bengal,Howrah,35.59,66,0.8,0.48,0,0.74,0.78,0.12,0.6,0.8,142,0.35,0,0
Railways,Maharashtra,Aurangabad,27.79,58,0.43,0.83,1,0.29,0.73,0.99,0.14,0.93,146,0.37,0,0
Solar Parks,West Bengal,Murshidabad,17.36,56,0.62,0.73,0,0.34,0.91,0.37,0.55,0.66,166,0.47,1,178
Highways,Tamil Nadu,Kanchipuram,111.27,185,0.53,0.23,0,0.25,0.66,0.66,0.81,0.21,157,0.25,0,0
Water Resources,Uttar Pradesh,Agra,7.61,10,0.71,0.47,1,0.27,0.45,0.36,0.89,0.25,194,0.23,1,286
Railways,Uttar Pradesh,Lucknow,25.86,53,0.23,0.73,0,0.13,0.74,0.45,0.3,0.38,150,0.47,0,0
Solar Parks,Karnataka,Dakshina Kannada,25.38,59,0.88,0.65,0,0.87,0.66,0.59,0.31,0.57,112,0.29,1,208
Mining,Madhya Pradesh,Bhopal,65.55,52,0.65,0.96,1,0.58,0.65,0.65,0.29,0.51,220,0.05,1,219
Solar Parks,Maharashtra,Nagpur,88.99,126,0.33,0.88,1,0.39,0.86,0.79,0.19,0.93,246,0.61,1,211
Urban Infrastructure,Karnataka,Bengaluru Urban,27.62,64,0.2,0.25,1,0.36,0.92,0.81,0.44,0.91,89,0.14,1,239
Solar Parks,Madhya Pradesh,Ujjain,38.64,71,0.23,0.77,0,0.59,0.26,0.57,0.76,0.49,181,0.14,0,0
Urban Infrastructure,West Bengal,Paschim Bardhaman,41.36,54,0.77,0.46,1,0.39,0.38,0.17,0.69,0.8,193,0.54,1,327
Railways,Karnataka,Dakshina Kannada,76.91,112,0.6,0.73,1,0.88,0.69,0.6,0.86,0.68,170,0.25,0,0
Solar Parks,Gujarat,Surat,75.66,144,0.42,0.68,0,0.29,0.6,0.53,0.37,0.38,230,0.25,1,187
Railways,West Bengal,Murshidabad,21.53,54,0.38,0.59,1,0.89,0.69,0.29,0.56,0.9,99,0.42,1,261
Railways,Madhya Pradesh,Jabalpur,47.01,80,0.83,0.87,1,0.7,0.49,0.11,0.74,0.39,134,0.09,0,0
Water Resources,Maharashtra,Aurangabad,45.0,91,0.84,0.75,0,0.96,0.47,0.38,0.86,0.85,164,0.19,1,246
Highways,Madhya Pradesh,Ujjain,30.18,46,0.59,0.89,0,0.11,0.21,0.33,0.83,0.68,201,0.08,0,0
Railways,Karnataka,Bengaluru Urban,44.66,62,0.55,0.42,1,0.15,0.66,0.53,0.47,0.67,214,0.22,0,0
Railways,Karnataka,Belagavi,33.65,33,0.79,0.47,1,0.55,0.26,0.79,0.87,0.83,105,0.57,1,222
Water Resources,Odisha,Cuttack,37.57,48,0.74,0.69,0,0.92,0.7,0.5,0.45,0.57,80,0.6,1,175
Water Resources,Maharashtra,Pune,11.19,26,0.44,0.95,1,0.76,0.97,0.96,0.86,0.84,195,0.24,1,145
Solar Parks,Rajasthan,Kota,15.89,8,0.17,0.49,0,0.66,0.33,0.3,0.75,0.61,165,0.16,0,0
Water Resources,West Bengal,Paschim Bardhaman,63.7,46,0.75,0.23,0,0.13,0.23,0.3,0.25,0.94,167,0.13,1,218
Solar Parks,Uttar Pradesh,Agra,12.57,21,0.24,0.55,0,0.42,0.12,0.64,0.89,0.69,196,0.29,0,0
Mining,Maharashtra,Aurangabad,48.24,93,0.11,0.62,0,0.41,0.44,0.91,0.27,0.48,123,0.55,0,0
Water Resources,Uttar Pradesh,Agra,31.03,25,0.82,0.82,0,0.59,0.29,0.7,0.87,0.77,149,0.56,0,0
Highways,Maharashtra,Pune,75.53,60,0.59,0.77,0,0.33,0.54,0.71,0.6,0.58,183,0.08,0,0
Railways,Maharashtra,Pune,55.65,30,0.86,0.95,0,0.34,0.57,0.83,0.65,0.8,117,0.18,0,0
